ZIP	Name	Rate
563774775	State, Stearns	7.125
563774776	State, Stearns, St Cloud Area	7.625
563774809	State, Stearns, St Cloud Area	7.625
563774810	State. Benton County Transit, St Cloud Area	7.875
563774811	State, Stearns, St Cloud Area	7.625
563779510	State, Stearns, St Cloud Area	7.625
563779511	State, Stearns	7.125
563779512	State, Stearns, St Cloud Area	7.625
563779519	State, Stearns, St Cloud Area	7.625
563779520	State, Stearns	7.125
563779537	State, Stearns, St Cloud Area	7.625
563779562	State, Stearns, St Cloud Area	7.625
563779678	State, Stearns	7.125
563779767	State, Stearns	7.125
563779998	State, Stearns, St Cloud Area	7.625
563779999	State, Stearns, St Cloud Area	7.625
563780001	State, Stearns, Sauk Centre	7.625
563781408	State, Stearns, Sauk Centre	7.625
563781409	State, Stearns	7.125
563781410	State, Stearns, Sauk Centre	7.625
563781696	State, Stearns, Sauk Centre	7.625
563781697	State, Stearns	7.125
563781698	State, Stearns, Sauk Centre	7.625
563781751	State, Stearns, Sauk Centre	7.625
563781752	State, Stearns	7.125
563781753	State, Stearns, Sauk Centre	7.625
563781758	State, Stearns, Sauk Centre	7.625
563781759	State, Stearns	7.125
563781760	State, Stearns, Sauk Centre	7.625
563781761	State, Stearns, Sauk Centre	7.625
563781762	State, Stearns	7.125
563781763	State, Stearns, Sauk Centre	7.625
563781914	State, Stearns, Sauk Centre	7.625
563781915	State, Stearns	7.125
563781916	State, Stearns, Sauk Centre	7.625
563781919	State, Stearns, Sauk Centre	7.625
563781920	State, Stearns	7.125
563781921	State, Stearns	7.125
563781922	State, Stearns, Sauk Centre	7.625
563781934	State, Stearns, Sauk Centre	7.625
563781935	State, Stearns	7.125
563781936	State, Stearns, Sauk Centre	7.625
563781937	State, Stearns	7.125
563781938	State, Stearns, Sauk Centre	7.625
563781939	State, Stearns	7.125
563781940	State, Stearns, Sauk Centre	7.625
563781956	State, Stearns, Sauk Centre	7.625
563781957	State, Todd	7.375
563781958	State, Stearns, Sauk Centre	7.625
563782126	State, Stearns, Sauk Centre	7.625
563782127	State, Stearns	7.125
563782128	State, Stearns, Sauk Centre	7.625
563782129	State, Stearns, Sauk Centre	7.625
563782200	State, Todd	7.375
563782600	State, Stearns, Sauk Centre	7.625
563782603	State, Stearns, Sauk Centre	7.625
563782604	State, Stearns	7.125
563782605	State, Stearns, Sauk Centre	7.625
563782606	State, Todd	7.375
563782607	State, Todd	7.375
563782700	State, Stearns, Sauk Centre	7.625
563782701	State, Stearns, Sauk Centre	7.625
563782800	State, Todd	7.375
563783100	State, Stearns, Sauk Centre	7.625
563784100	State, Stearns, Sauk Centre	7.625
563784400	State, Todd	7.375
563784401	State, Todd	7.375
563784402	State, Stearns, Sauk Centre	7.625
563784405	State, Stearns, Sauk Centre	7.625
563784500	State, Todd	7.375
563784501	State, Todd	7.375
563784502	State, Stearns	7.125
563784508	State, Stearns	7.125
563784509	State, Todd	7.375
563784527	State, Todd	7.375
563784528	State, Stearns	7.125
563784529	State, Todd	7.375
563784599	State, Todd	7.375
563784600	State, Stearns	7.125
563784601	State, Todd	7.375
563784705	State, Todd	7.375
563784706	State	6.875
563784707	State, Todd	7.375
563784837	State, Todd	7.375
563784838	State, Stearns	7.125
563784839	State, Todd	7.375
563784856	State, Todd	7.375
563784857	State, Stearns	7.125
563784858	State, Todd	7.375
563784861	State, Todd	7.375
563784862	State, Stearns, Sauk Centre	7.625
563784863	State, Todd	7.375
563784864	State, Todd	7.375
563784865	State, Stearns	7.125
563784866	State, Todd	7.375
563784867	State, Stearns	7.125
563784868	State, Todd	7.375
563784869	State, Stearns, Sauk Centre	7.625
